x;y;z;E;n
-41;-4;19;1;1
-41;-4;20;0;1
-41;-4;21;1;1
-41;-4;25;0;1
-41;-4;26;1;1
-41;-4;28;0;1
-41;-4;29;0;1
-41;-4;33;0;1
-41;-4;34;0;1
-41;-4;36;1;1
-41;-4;39;0;1
-41;-3;12;0;1
-41;-3;16;1;1
-41;-3;18;0;1
-41;-3;20;0;1
-41;-3;25;0;1
-41;-3;28;0;1
-41;-3;29;0;1
-41;-3;31;0;1
-41;-3;32;0;1
-41;-3;33;1;1
-41;-3;34;0;1
-41;-3;35;0;1
-41;-3;36;1;1
-41;-2;13;0;1
-41;-2;16;0;1
-41;-2;18;1;1
-41;-2;20;1;1
-41;-2;28;0;1
-41;-2;29;0;1
-41;-2;30;1;1
-41;-2;37;0;1
-41;-1;13;0;1
-41;-1;14;1;1
-41;-1;15;1;1
-41;-1;18;1;1
-41;-1;20;0;1
-41;-1;22;0;1
-41;-1;23;0;1
-41;-1;25;0;1
-41;-1;27;0;1
-41;-1;28;0;1
-41;-1;29;0;1
-41;-1;30;0;1
-41;-1;31;0;1
-41;-1;32;0;1
-41;-1;36;0;1
-41;-1;37;1;1
-41;-1;38;0;1
-41;0;13;1;1
-41;0;15;1;1
-41;0;16;1;1
-41;0;17;1;1
-41;0;18;1;1
-41;0;19;1;1
-41;0;20;0;1
-41;0;21;0;1
-41;0;23;1;1
-41;0;24;1;1
-41;0;25;1;1
-41;0;27;0;1
-41;0;36;0;1
-41;0;38;0;1
-41;1;15;0;1
-41;1;16;1;1
-41;1;19;1;1
-41;1;22;1;1
-41;1;27;0;1
-41;1;31;0;1
-41;1;34;0;1
-41;1;35;1;1
-41;1;39;0;1
-41;2;12;0;1
-41;2;13;1;1
-41;2;18;0;1
-41;2;20;0;1
-41;2;26;0;1
-41;2;27;0;1
-41;2;32;0;1
-41;2;34;0;1
-41;2;36;0;1
-41;2;37;1;1
-41;2;39;0;1
-41;3;13;1;1
-41;3;14;1;1
-41;3;15;0;1
-41;3;17;0;1
-41;3;18;0;1
-41;3;23;0;1
-41;3;24;0;1
-41;3;25;0;1
-41;3;26;1;1
-41;3;27;0;1
-41;3;34;0;1
-41;3;35;0;1
-41;3;37;0;1
-41;3;38;0;1
-41;3;39;0;1
-41;4;14;0;1
-41;4;15;0;1
-41;4;17;0;1
-41;4;25;1;1
-41;4;26;1;1
-41;4;27;0;1
-41;4;28;0;1
-41;4;30;0;1
-41;4;34;1;1
-41;4;37;1;1
-41;5;13;0;1
-41;5;17;1;1
-41;5;19;1;1
-41;5;24;1;1
-41;5;25;0;1
-41;5;26;0;1
-41;5;27;0;1
-41;5;28;1;1
-41;5;29;0;1
-41;5;30;1;1
-41;5;32;0;1
-41;5;34;0;1
-41;5;37;0;1
-41;5;38;0;1
-41;5;39;0;1
-41;6;13;0;1
-41;6;17;1;1
-41;6;20;1;1
-41;6;24;1;1
-41;6;25;0;1
-41;6;26;0;1
-41;6;27;0;1
-41;6;28;0;1
-41;6;31;1;1
-41;6;32;0;1
-41;6;35;0;1
-41;6;37;1;1
-41;6;39;0;1
-41;7;12;0;1
-41;7;13;0;1
-41;7;15;0;1
-41;7;20;0;1
-41;7;21;0;1
-41;7;27;1;1
-41;7;29;0;1
-41;7;31;0;1
-41;7;32;0;1
-41;7;35;0;1
-41;7;36;1;1
-41;7;38;0;1
-41;8;12;0;1
-41;8;14;0;1
-41;8;15;1;1
-41;8;16;0;1
-41;8;18;1;1
-41;8;19;0;1
-41;8;22;1;1
-41;8;23;0;1
-41;8;26;1;1
-41;8;28;0;1
-41;8;34;1;1
-41;9;12;1;1
-41;9;13;1;1
-41;9;14;0;1
-41;9;15;1;1
-41;9;17;0;1
-41;9;18;0;1
-41;9;24;1;1
-41;9;27;0;1
-41;9;28;0;1
-41;9;29;0;1
-41;9;31;0;1
-41;9;34;0;1
-41;9;35;0;1
-41;9;36;0;1
-41;9;37;0;1
-41;9;38;0;1
-41;10;12;0;1
-41;10;13;1;1
-41;10;17;1;1
-41;10;19;0;1
-41;10;22;0;1
-41;10;25;0;1
-41;10;26;0;1
-41;10;29;1;1
-41;10;30;0;1
-41;10;31;0;1
-41;11;16;1;1
-41;11;17;1;1
-41;11;19;0;1
-41;11;20;0;1
-41;11;23;0;1
-41;11;26;0;1
-41;11;27;0;1
-41;11;30;0;1
-41;11;31;0;1
-41;11;33;1;1
-41;11;36;0;1
-41;11;37;0;1
-41;11;38;0;1
-41;11;39;0;1
-41;12;12;1;1
-41;12;18;1;1
-41;12;19;0;1
-41;12;20;1;1
-41;12;23;0;1
-41;12;24;0;1
-41;12;26;0;1
-41;12;27;0;1
-41;12;28;0;1
-41;12;29;0;1
-41;12;38;0;1
-41;13;12;1;1
-41;13;16;1;1
-41;13;17;0;1
-41;13;20;1;1
-41;13;25;0;1
-41;13;27;0;1
-41;13;29;0;1
-41;13;30;0;1
-41;13;31;0;1
-41;13;32;1;1
-41;13;33;1;1
-41;13;34;1;1
-41;13;35;1;1
-41;13;36;0;1
-40;-13;13;0;1
-40;-13;15;1;1
-40;-13;17;1;1
-40;-13;18;1;1
-40;-13;20;1;1
-40;-13;21;1;1
-40;-13;24;0;1
-40;-13;27;0;1
-40;-13;31;0;1
-40;-13;32;0;1
-40;-13;34;1;1
-40;-13;39;1;1
-40;-12;12;0;1
-40;-12;15;1;1
-40;-12;16;1;1
-40;-12;17;0;1
-40;-12;19;1;1
-40;-12;25;0;1
-40;-12;26;0;1
-40;-12;27;0;1
-40;-12;29;0;1
-40;-12;30;0;1
-40;-12;32;0;1
-40;-12;33;0;1
-40;-12;36;1;1
-40;-12;37;0;1
-40;-12;38;0;1
-40;-12;39;0;1
-40;-11;12;0;1
-40;-11;14;1;1
-40;-11;15;0;1
-40;-11;17;1;1
-40;-11;18;0;1
-40;-11;20;1;1
-40;-11;22;1;1
-40;-11;23;0;1
-40;-11;24;1;1
-40;-11;26;0;1
-40;-11;28;0;1
-40;-11;31;0;1
-40;-11;32;0;1
-40;-11;33;1;1
-40;-10;13;0;1
-40;-10;14;1;1
-40;-10;16;0;1
-40;-10;19;1;1
-40;-10;22;1;1
-40;-10;29;1;1
-40;-10;32;0;1
-40;-10;34;0;1
-40;-10;36;0;1
-40;-9;13;0;1
-40;-9;17;1;1
-40;-9;18;1;1
-40;-9;19;0;1
-40;-9;21;1;1
-40;-9;22;1;1
-40;-9;25;0;1
-40;-9;27;0;1
-40;-9;29;0;1
-40;-9;30;0;1
-40;-9;36;0;1
-40;-9;37;1;1
-40;-9;38;0;1
-40;-9;39;0;1
-40;-8;13;0;1
-40;-8;14;0;1
-40;-8;15;1;1
-40;-8;16;0;1
-40;-8;19;1;1
-40;-8;20;0;1
-40;-8;23;0;1
-40;-8;24;1;1
-40;-8;26;1;1
-40;-8;27;1;1
-40;-8;29;0;1
-40;-8;31;1;1
-40;-8;32;1;1
-40;-8;33;0;1
-40;-8;34;1;1
-40;-8;35;1;1
-40;-7;12;0;1
-40;-7;13;1;1
-40;-7;14;1;1
-40;-7;15;0;1
-40;-7;16;0;1
-40;-7;17;0;1
-40;-7;18;1;1
-40;-7;22;1;1
-40;-7;26;0;1
-40;-7;31;0;1
-40;-7;33;0;1
-40;-7;34;0;1
-40;-7;35;0;1
-40;-7;36;0;1
-40;-6;14;0;1
-40;-6;16;1;1
-40;-6;18;0;1
-40;-6;19;0;1
-40;-6;20;0;1
-40;-6;24;0;1
-40;-6;25;1;1
-40;-6;30;0;1
-40;-6;31;1;1
-40;-6;34;0;1
-40;-6;36;0;1
-40;-6;37;0;1
-40;-5;15;0;1
-40;-5;25;0;1
-40;-5;26;0;1
-40;-5;28;0;1
-40;-5;30;1;1
-40;-5;34;0;1
-40;-5;35;1;1
-40;-5;36;1;1
-40;-5;38;1;1
-40;-5;39;0;1
-40;-4;17;1;1
-40;-4;18;1;1
-40;-4;19;0;1
-40;-4;23;0;1
-40;-4;25;1;1
-40;-4;27;0;1
-40;-4;31;0;1
-40;-4;34;0;1
-40;-4;35;0;1
-40;-4;37;0;1
-40;-4;38;0;1
-40;-3;12;1;1
-40;-3;14;0;1
-40;-3;18;1;1
-40;-3;21;1;1
-40;-3;22;1;1
-40;-3;23;1;1
-40;-3;24;1;1
-40;-3;25;0;1
-40;-3;30;0;1
-40;-3;32;0;1
-40;-3;33;0;1
-40;-3;35;0;1
-40;-3;39;0;1
-40;-2;12;1;1
-40;-2;14;0;1
-40;-2;16;1;1
-40;-2;19;0;1
-40;-2;21;0;1
-40;-2;23;0;1
-40;-2;24;0;1
-40;-2;25;0;1
-40;-2;26;1;1
-40;-2;28;0;1
-40;-2;31;0;1
-40;-2;34;0;1
-40;-2;35;0;1
-40;-2;36;0;1
-40;-2;37;1;1
-40;-2;39;0;1
-40;-1;12;0;1
-40;-1;13;0;1
-40;-1;16;0;1
-40;-1;17;1;1
-40;-1;20;1;1
-40;-1;22;1;1
-40;-1;25;0;1
-40;-1;26;0;1
-40;-1;28;0;1
-40;-1;30;1;1
-40;-1;32;0;1
-40;-1;34;0;1
-40;-1;35;0;1
-40;-1;36;0;1
-40;-1;37;0;1
-40;-1;38;1;1
-40;0;14;0;1
-40;0;18;0;1
-40;0;19;1;1
-40;0;21;1;1
-40;0;26;0;1
-40;0;30;1;1
-40;0;33;0;1
-40;0;35;1;1
-40;0;38;0;1
-40;0;39;0;1
-40;1;15;1;1
-40;1;16;0;1
-40;1;17;1;1
-40;1;20;0;1
-40;1;23;1;1
-40;1;28;0;1
-40;1;29;0;1
-40;1;30;0;1
-40;1;31;1;1
-40;1;33;0;1
-40;1;35;0;1
-40;1;36;0;1
-40;1;38;0;1
-40;1;39;0;1
-40;2;12;0;1
-40;2;13;0;1
-40;2;14;0;1
-40;2;17;1;1
-40;2;19;0;1
-40;2;20;1;1
-40;2;24;0;1
-40;2;26;0;1
-40;2;27;0;1
-40;2;30;0;1
-40;2;32;0;1
-40;2;33;0;1
-40;2;36;0;1
-40;2;38;0;1
-40;3;14;0;1
-40;3;18;0;1
-40;3;20;1;1
-40;3;21;0;1
-40;3;23;0;1
-40;3;26;1;1
-40;3;31;0;1
-40;3;37;1;1
-40;3;38;0;1
-40;4;12;0;1
-40;4;16;0;1
-40;4;23;0;1
-40;4;25;1;1
-40;4;36;0;1
-40;4;37;0;1
-40;4;39;0;1
-40;5;13;1;1
-40;5;16;1;1
-40;5;22;1;1
-40;5;23;0;1
-40;5;25;0;1
-40;5;27;0;1
-40;5;31;0;1
-40;5;33;0;1
-40;5;34;0;1
-40;5;35;0;1
-40;5;36;0;1
-40;5;38;0;1
-40;6;12;0;1
-40;6;13;1;1
-40;6;14;1;1
-40;6;15;0;1
-40;6;20;1;1
-40;6;21;1;1
-40;6;23;1;1
-40;6;25;0;1
-40;6;26;0;1
-40;6;27;0;1
-40;6;29;0;1
-40;6;31;0;1
-40;6;34;0;1
-40;6;36;1;1
-40;6;37;0;1
-40;6;38;0;1
-40;6;39;0;1
-40;7;15;1;1
-40;7;18;1;1
-40;7;21;1;1
-40;7;23;0;1
-40;7;27;0;1
-40;7;29;0;1
-40;7;30;0;1
-40;7;31;1;1
-40;7;33;0;1
-40;7;34;0;1
-40;7;35;0;1
-40;7;36;0;1
-40;7;37;0;1
-40;8;15;1;1
-40;8;17;1;1
-40;8;19;1;1
-40;8;20;1;1
-40;8;21;1;1
-40;8;22;1;1
-40;8;24;1;1
-40;8;26;0;1
-40;8;29;0;1
-40;8;31;0;1
-40;8;34;0;1
-40;8;36;0;1
-40;8;37;0;1
-40;8;38;0;1
-40;9;13;1;1
-40;9;17;1;1
-40;9;20;0;1
-40;9;22;1;1
-40;9;23;1;1
-40;9;26;0;1
-40;9;28;0;1
-40;9;31;0;1
-40;9;35;0;1
-40;9;36;0;1
-40;9;37;0;1
-40;10;13;1;1
-40;10;14;1;1
-40;10;20;1;1
-40;10;21;0;1
-40;10;22;0;1
-40;10;24;0;1
-40;10;25;0;1
-40;10;26;0;1
-40;10;27;0;1
-40;10;28;0;1
-40;10;36;0;1
-40;11;18;1;1
-40;11;22;0;1
-40;11;23;0;1
-40;11;31;0;1
-40;11;32;1;1
-40;11;34;1;1
-40;11;38;0;1
-40;12;14;0;1
-40;12;16;0;1
-40;12;18;0;1
-40;12;19;1;1
-40;12;22;1;1
-40;12;23;0;1
-40;12;24;0;1
-40;12;26;0;1
-40;12;29;0;1
-40;12;30;0;1
-40;12;32;0;1
-40;12;33;1;1
-40;12;38;0;1
-40;13;12;1;1
-40;13;13;0;1
-40;13;19;1;1
-40;13;20;0;1
-40;13;23;0;1
-40;13;24;0;1
-40;13;26;1;1
-40;13;27;0;1
-40;13;30;0;1
-40;13;33;1;1
-40;13;34;0;1
-40;13;36;1;1
-39;-13;13;0;1
-39;-13;14;0;1
-39;-13;15;0;1
-39;-13;16;1;1
-39;-13;17;0;1
-39;-13;18;1;1
-39;-13;19;0;1
-39;-13;20;1;1
-39;-13;24;1;1
-39;-13;28;0;1
-39;-13;30;0;1
-39;-13;35;0;1
-39;-13;36;0;1
-39;-13;37;1;1
-39;-13;38;1;1
-39;-13;39;0;1
-39;-12;12;0;1
-39;-12;14;1;1
-39;-12;15;0;1
-39;-12;22;0;1
-39;-12;24;0;1
-39;-12;26;1;1
-39;-12;27;0;1
-39;-12;29;0;1
-39;-12;30;1;1
-39;-12;31;0;1
-39;-12;32;0;1
-39;-12;33;0;1
-39;-12;35;1;1
-39;-12;37;1;1
-39;-11;15;1;1
-39;-11;18;1;1
-39;-11;19;1;1
-39;-11;24;1;1
-39;-11;26;0;1
-39;-11;27;0;1
-39;-11;28;0;1
-39;-11;32;0;1
-39;-11;35;1;1
-39;-11;37;0;1
-39;-11;39;0;1
-39;-10;17;0;1
-39;-10;21;1;1
-39;-10;22;1;1
-39;-10;24;1;1
-39;-10;29;0;1
-39;-10;34;0;1
-39;-10;38;0;1
-39;-9;15;0;1
-39;-9;16;1;1
-39;-9;19;0;1
-39;-9;20;1;1
-39;-9;25;0;1
-39;-9;26;0;1
-39;-9;27;1;1
-39;-9;28;1;1
-39;-9;32;0;1
-39;-9;34;0;1
-39;-9;35;0;1
-39;-9;36;0;1
-39;-9;39;0;1
-39;-8;14;1;1
-39;-8;15;0;1
-39;-8;16;0;1
-39;-8;21;1;1
-39;-8;22;1;1
-39;-8;28;1;1
-39;-8;30;1;1
-39;-8;31;0;1
-39;-8;35;0;1
-39;-8;36;1;1
-39;-8;37;0;1
-39;-8;38;0;1
-39;-8;39;0;1
-39;-7;12;0;1
-39;-7;14;1;1
-39;-7;17;0;1
-39;-7;19;1;1
-39;-7;23;1;1
-39;-7;24;0;1
-39;-7;33;0;1
-39;-7;37;0;1
-39;-7;38;0;1
-39;-6;12;1;1
-39;-6;16;0;1
-39;-6;18;0;1
-39;-6;21;1;1
-39;-6;23;1;1
-39;-6;24;1;1
-39;-6;26;0;1
-39;-6;34;0;1
-39;-6;35;0;1
-39;-6;36;0;1
-39;-6;38;0;1
-39;-5;13;0;1
-39;-5;14;0;1
-39;-5;18;0;1
-39;-5;20;1;1
-39;-5;21;1;1
-39;-5;22;0;1
-39;-5;23;1;1
-39;-5;30;0;1
-39;-5;32;1;1
-39;-5;35;0;1
-39;-5;37;0;1
-39;-5;39;0;1
-39;-4;13;1;1
-39;-4;14;1;1
-39;-4;15;0;1
-39;-4;17;0;1
-39;-4;18;0;1
-39;-4;19;0;1
-39;-4;24;1;1
-39;-4;30;0;1
-39;-4;31;1;1
-39;-4;34;0;1
-39;-4;36;0;1
-39;-4;37;1;1
-39;-4;38;0;1
-39;-3;12;1;1
-39;-3;16;0;1
-39;-3;18;1;1
-39;-3;20;1;1
-39;-3;23;0;1
-39;-3;24;1;1
-39;-3;28;0;1
-39;-3;31;0;1
-39;-2;13;1;1
-39;-2;18;1;1
-39;-2;19;1;1
-39;-2;22;1;1
-39;-2;23;1;1
-39;-2;24;1;1
-39;-2;27;1;1
-39;-2;28;1;1
-39;-2;29;0;1
-39;-2;31;1;1
-39;-2;35;0;1
-39;-2;36;1;1
-39;-2;37;0;1
-39;-2;39;1;1
-39;-1;12;1;1
-39;-1;16;1;1
-39;-1;17;1;1
-39;-1;19;0;1
-39;-1;21;1;1
-39;-1;25;1;1
-39;-1;29;0;1
-39;-1;31;1;1
-39;-1;35;0;1
-39;0;12;1;1
-39;0;13;0;1
-39;0;15;1;1
-39;0;16;0;1
-39;0;17;0;1
-39;0;18;0;1
-39;0;21;0;1
-39;0;22;1;1
-39;0;25;0;1
-39;0;27;1;1
-39;0;30;0;1
-39;0;31;1;1
-39;0;35;0;1
-39;0;36;0;1
-39;1;13;1;1
-39;1;14;0;1
-39;1;20;1;1
-39;1;21;1;1
-39;1;24;1;1
-39;1;25;0;1
-39;1;32;1;1
-39;1;33;1;1
-39;1;36;0;1
-39;1;38;0;1
-39;2;13;1;1
-39;2;14;0;1
-39;2;17;0;1
-39;2;28;0;1
-39;2;29;0;1
-39;2;32;0;1
-39;2;34;1;1
-39;2;35;0;1
-39;2;36;0;1
-39;2;37;0;1
-39;3;13;0;1
-39;3;14;1;1
-39;3;15;1;1
-39;3;17;1;1
-39;3;24;0;1
-39;3;25;0;1
-39;3;26;1;1
-39;3;28;0;1
-39;3;29;1;1
-39;3;30;0;1
-39;3;32;1;1
-39;3;34;0;1
-39;3;38;0;1
-39;4;12;1;1
-39;4;13;1;1
-39;4;15;1;1
-39;4;16;1;1
-39;4;21;0;1
-39;4;23;1;1
-39;4;26;1;1
-39;4;27;1;1
-39;4;31;0;1
-39;4;32;0;1
-39;4;35;1;1
-39;4;39;1;1
-39;5;14;0;1
-39;5;15;0;1
-39;5;17;1;1
-39;5;21;0;1
-39;5;23;1;1
-39;5;24;0;1
-39;5;26;0;1
-39;5;27;1;1
-39;5;29;1;1
-39;5;31;0;1
-39;5;32;0;1
-39;5;33;0;1
-39;5;34;1;1
-39;5;36;0;1
-39;5;37;0;1
-39;6;12;1;1
-39;6;14;1;1
-39;6;18;1;1
-39;6;20;0;1
-39;6;22;1;1
-39;6;24;0;1
-39;6;31;0;1
-39;6;32;0;1
-39;6;35;0;1
-39;6;36;0;1
-39;6;38;1;1
-39;7;12;1;1
-39;7;16;0;1
-39;7;19;1;1
-39;7;22;0;1
-39;7;23;1;1
-39;7;24;0;1
-39;7;27;0;1
-39;7;30;0;1
-39;7;31;0;1
-39;7;36;0;1
-39;8;15;1;1
-39;8;18;0;1
-39;8;19;0;1
-39;8;20;0;1
-39;8;21;1;1
-39;8;31;1;1
-39;8;34;0;1
-39;8;35;1;1
-39;8;36;0;1
-39;9;16;1;1
-39;9;17;0;1
-39;9;18;0;1
-39;9;24;0;1
-39;9;25;0;1
-39;9;28;1;1
-39;9;30;1;1
-39;9;31;0;1
-39;9;32;0;1
-39;9;36;0;1
-39;9;37;0;1
-39;10;13;1;1
-39;10;16;1;1
-39;10;17;1;1
-39;10;21;1;1
-39;10;23;0;1
-39;10;26;1;1
-39;10;31;0;1
-39;10;33;1;1
-39;10;34;0;1
-39;10;39;0;1
-39;11;12;0;1
-39;11;15;1;1
-39;11;19;1;1
-39;11;20;1;1
-39;11;24;1;1
-39;11;25;1;1
-39;11;35;1;1
-39;11;38;0;1
-39;12;18;1;1
-39;12;20;0;1
-39;12;24;1;1
-39;12;27;0;1
-39;12;28;0;1
-39;12;29;0;1
-39;12;30;1;1
-39;12;31;0;1
-39;12;33;0;1
-39;12;36;0;1
-39;12;38;0;1
-39;13;15;1;1
-39;13;17;1;1
-39;13;18;0;1
-39;13;21;0;1
-39;13;22;1;1
-39;13;23;1;1
-39;13;26;1;1
-39;13;28;0;1
-39;13;32;0;1
-39;13;38;0;1
-38;-13;13;1;1
-38;-13;14;1;1
-38;-13;15;0;1
-38;-13;17;0;1
-38;-13;18;1;1
-38;-13;19;1;1
-38;-13;23;1;1
-38;-13;25;0;1
-38;-13;28;0;1
-38;-13;30;0;1
-38;-13;32;0;1
-38;-13;37;0;1
-38;-12;12;1;1
-38;-12;13;1;1
-38;-12;14;0;1
-38;-12;17;0;1
-38;-12;21;1;1
-38;-12;22;1;1
-38;-12;23;1;1
-38;-12;29;1;1
-38;-12;30;0;1
-38;-12;32;1;1
-38;-12;34;0;1
-38;-12;37;0;1
-38;-11;12;0;1
-38;-11;13;1;1
-38;-11;14;1;1
-38;-11;15;0;1
-38;-11;16;1;1
-38;-11;17;1;1
-38;-11;18;0;1
-38;-11;19;0;1
-38;-11;22;1;1
-38;-11;26;0;1
-38;-11;27;0;1
-38;-11;30;1;1
-38;-11;33;0;1
-38;-11;35;0;1
-38;-11;37;0;1
-38;-11;39;0;1
-38;-10;14;1;1
-38;-10;17;0;1
-38;-10;20;1;1
-38;-10;21;1;1
-38;-10;22;1;1
-38;-10;24;1;1
-38;-10;25;1;1
-38;-10;31;1;1
-38;-10;33;0;1
-38;-10;34;0;1
-38;-9;12;1;1
-38;-9;14;0;1
-38;-9;15;1;1
-38;-9;18;1;1
-38;-9;19;1;1
-38;-9;21;1;1
-38;-9;22;0;1
-38;-9;24;1;1
-38;-9;29;0;1
-38;-9;30;0;1
-38;-9;32;0;1
-38;-9;33;0;1
-38;-9;38;0;1
-38;-8;13;0;1
-38;-8;15;1;1
-38;-8;16;1;1
-38;-8;17;0;1
-38;-8;18;0;1
-38;-8;21;0;1
-38;-8;23;1;1
-38;-8;25;0;1
-38;-8;27;0;1
-38;-8;30;0;1
-38;-8;33;1;1
-38;-8;34;0;1
-38;-8;36;0;1
-38;-8;39;0;1
-38;-7;13;0;1
-38;-7;14;0;1
-38;-7;16;1;1
-38;-7;17;1;1
-38;-7;19;0;1
-38;-7;20;1;1
-38;-7;21;0;1
-38;-7;22;1;1
-38;-7;25;0;1
-38;-7;28;0;1
-38;-7;29;0;1
-38;-7;30;0;1
-38;-7;31;0;1
-38;-7;34;0;1
-38;-7;36;0;1
-38;-7;37;0;1
-38;-7;39;1;1
-38;-6;15;1;1
-38;-6;16;0;1
-38;-6;17;0;1
-38;-6;18;0;1
-38;-6;19;0;1
-38;-6;20;0;1
-38;-6;21;0;1
-38;-6;24;0;1
-38;-6;25;0;1
-38;-6;26;0;1
-38;-6;27;0;1
-38;-6;28;1;1
-38;-6;30;0;1
-38;-6;31;1;1
-38;-6;32;0;1
-38;-6;33;0;1
-38;-6;37;0;1
-38;-5;12;1;1
-38;-5;13;0;1
-38;-5;15;1;1
-38;-5;16;1;1
-38;-5;18;1;1
-38;-5;20;0;1
-38;-5;21;0;1
-38;-5;22;0;1
-38;-5;23;0;1
-38;-5;25;1;1
-38;-5;27;0;1
-38;-5;30;0;1
-38;-5;31;1;1
-38;-5;36;0;1
-38;-4;13;0;1
-38;-4;17;1;1
-38;-4;19;1;1
-38;-4;20;1;1
-38;-4;23;0;1
-38;-4;32;1;1
-38;-4;34;0;1
-38;-4;37;0;1
-38;-4;38;1;1
-38;-3;15;1;1
-38;-3;18;1;1
-38;-3;22;0;1
-38;-3;25;0;1
-38;-3;30;1;1
-38;-3;31;0;1
-38;-3;34;0;1
-38;-3;39;0;1
-38;-2;18;0;1
-38;-2;19;1;1
-38;-2;22;1;1
-38;-2;23;1;1
-38;-2;25;1;1
-38;-2;30;0;1
-38;-2;31;1;1
-38;-2;34;0;1
-38;-2;37;0;1
-38;-2;38;1;1
-38;-2;39;0;1
-38;-1;14;1;1
-38;-1;16;1;1
-38;-1;19;1;1
-38;-1;25;0;1
-38;-1;29;0;1
-38;-1;31;0;1
-38;-1;35;0;1
-38;-1;37;0;1
-38;-1;38;0;1
-38;-1;39;0;1
-38;0;14;0;1
-38;0;15;1;1
-38;0;16;0;1
-38;0;17;1;1
-38;0;18;0;1
-38;0;26;1;1
-38;0;30;0;1
-38;0;34;0;1
-38;0;35;0;1
-38;0;36;0;1
-38;0;37;0;1
-38;1;13;1;1
-38;1;22;0;1
-38;1;23;1;1
-38;1;25;1;1
-38;1;26;1;1
-38;1;30;0;1
-38;1;31;1;1
-38;1;33;0;1
-38;1;36;0;1
-38;1;39;0;1
-38;2;12;1;1
-38;2;15;1;1
-38;2;16;1;1
-38;2;18;0;1
-38;2;20;0;1
-38;2;21;0;1
-38;2;24;1;1
-38;2;27;0;1
-38;2;28;1;1
-38;2;30;0;1
-38;2;35;0;1
-38;2;38;0;1
-38;2;39;0;1
-38;3;13;1;1
-38;3;18;1;1
-38;3;19;1;1
-38;3;20;1;1
-38;3;22;1;1
-38;3;32;0;1
-38;3;33;0;1
-38;3;36;0;1
-38;3;37;0;1
-38;3;38;1;1
-38;4;12;0;1
-38;4;16;1;1
-38;4;17;1;1
-38;4;21;0;1
-38;4;29;0;1
-38;4;31;1;1
-38;4;32;0;1
-38;4;35;0;1
-38;4;37;0;1
-38;5;14;1;1
-38;5;15;1;1
-38;5;19;0;1
-38;5;20;1;1
-38;5;23;0;1
-38;5;24;1;1
-38;5;27;1;1
-38;5;28;0;1
-38;5;29;0;1
-38;5;30;1;1
-38;5;32;0;1
-38;5;35;0;1
-38;6;13;1;1
-38;6;15;1;1
-38;6;19;0;1
-38;6;23;0;1
-38;6;24;0;1
-38;6;25;0;1
-38;6;27;0;1
-38;6;28;0;1
-38;6;29;1;1
-38;6;31;1;1
-38;6;33;1;1
-38;6;35;0;1
-38;6;36;0;1
